"Player","Team","Position","Age","Status","1QB Rank","SF/TE Prem","1QB Pos Rk","SF/TE Pr Pos Rk","Notes","1QBAuction","2QBAuction"
"Baker Mayfield","TB","QB","31.3","Veteran","247","76","QB23","QB23","Extension talks have not yet resulted in a contract.","$1","$11"
"2028 3rd Round Draft Pick","NFL","Pick",,"Pick","248","242","Pick06","Pick06",,"$1","$1"
"Justin Joly","DEN","TE","22.1","Rookie","249","237","TE39","TE39",,"$1","$1"
"Dalton Schultz","HOU","TE","30.1","Veteran","250","238","TE40","TE40",,"$1","$1"
"Tez Johnson","TB","WR","24.2","Veteran","251","286","WR104","WR104",,"$0","$0"
"Seth McGowan","IND","RB","25.8","Rookie","252","285","RB79","RB79","Older player, but big and athletic.","$0","$0"
"Sam Roush","CHI","TE","22.9","Rookie","253","240","TE41","TE41",,"$0","$1"
"Darius Slayton","NYG","WR","29.6","Veteran","254","287","WR105","WR105",,"$0","$0"
"Brandon Aiyuk","SF","WR","28.4","Veteran","255","288","WR106","WR106","Seems to be going down the AB path.","$0","$0"
"Isaac Guerendo","SF","RB","26.1","Veteran","256","288","RB80","RB80",,"$0","$0"
"Luke McCaffrey","WFT","WR","25.4","Veteran","257","290","WR107","WR107",,"$0","$0"
"Jaylin Lane","WFT","WR","24.3","Veteran","258","292","WR108","WR108",,"$0","$0"
"Dont'e Thornton","LV","WR","23.7","Veteran","259","293","WR109","WR109",,"$0","$0"
"Marvin Mims","DEN","WR","24.4","Veteran","260","294","WR110","WR110",,"$0","$0"
"Malik Washington","MIA","WR","25.6","Veteran","261","295","WR111","WR111",,"$0","$0"
"Savion Williams","GB","WR","24.7","Veteran","262","296","WR112","WR112",,"$0","$0"
"Jordan Whittington","LAR","WR","25.9","Veteran","263","297","WR113","WR113",,"$0","$0"
"Cedric Tillman","CLE","WR","26.3","Veteran","264","299","WR114","WR114",,"$0","$0"
"David Njoku","LAC","TE","30.1","Veteran","265","244","TE42","TE42","Money here is not impressive.","$0","$1"
"Jake Tonges","SF","TE","27.1","Veteran","266","247","TE43","TE43",,"$0","$1"
"Theo Johnson","NYG","TE","25.4","Veteran","267","249","TE44","TE44","Different role than Likely, but will be tougher to find targets.","$0","$1"
"Mike Gesicki","CIN","TE","30.9","Veteran","268","250","TE45","TE45",,"$0","$1"
"Evan Engram","DEN","TE","31.9","Veteran","269","251","TE46","TE46",,"$0","$1"
"CJ Daniels","LAR","WR","24.6","Rookie","270","301","WR115","WR115",,"$0","$0"
"Christian Kirk","SF","WR","29.7","Veteran","271","302","WR116","WR116",,"$0","$0"
"Emari Demercado","KC","RB","27.6","Veteran","272","300","RB81","RB81",,"$0","$0"
"Josh Cameron","JAC","WR","23.4","Rookie","273","304","WR117","WR117",,"$0","$0"
"Josh Cuevas","BAL","TE","22.9","Rookie","274","258","TE47","TE47",,"$0","$1"
"Jaren Kanak","TEN","TE","22.5","Rookie","275","265","TE48","TE48",,"$0","$1"
"Brashard Smith","KC","RB","23.3","Veteran","276","308","RB82","RB82",,"$0","$0"
"Will Kacmarek","MIA","TE","23.5","Rookie","277","267","TE49","TE49",,"$0","$1"
"Kevin Coleman","MIA","WR","22.9","Rookie","278","310","WR118","WR118",,"$0","$0"
"Malik Willis","MIA","QB","27.2","Veteran","279","90","QB24","QB24","Don't love the infrastructure, but should get his chances to ball out.","$0","$9"
"KeAndre Lambert-Smith","LAC","WR","24.0","Veteran","280","311","WR119","WR119",,"$0","$0"
"Ryan Flournoy","DAL","WR","26.8","Veteran","281","313","WR120","WR120",,"$0","$0"
"Marlin Klein","HOU","TE","42.1","Rookie","282","271","TE50","TE50",,"$0","$1"
"Colbie Young","CIN","WR","24.0","Rookie","283","315","WR121","WR121",,"$0","$0"
"Ollie Gordon","MIA","RB","22.6","Veteran","284","315","RB83","RB83",,"$0","$0"
"Luke Musgrave","GB","TE","25.9","Veteran","285","280","TE51","TE51",,"$0","$0"
"Will Shipley","PHI","RB","23.9","Veteran","286","317","RB84","RB84",,"$0","$0"
"Reggie Virgil","ARI","WR","22.2","Rookie","287","318","WR122","WR122",,"$0","$0"
"Jonnu Smith","FA","TE","31.0","Veteran","288","283","TE52","TE52",,"$0","$0"
"Ja'Tavion Sanders","CAR","TE","23.4","Veteran","289","284","TE53","TE53",,"$0","$0"
"Deion Burks","IND","WR","23.6","Rookie","290","319","WR123","WR123","Speedy route-runner who fell massively in the draft.","$0","$0"
"2027 4th Round Draft Pick","NFL","Pick",,"Pick","291","298","Pick07","Pick07",,"$0","$0"
"Noah Gray","KC","TE","27.3","Veteran","292","290","TE54","TE54",,"$0","$0"
"2028 4th Round Draft Pick","NFL","Pick",,"Pick","293","307","Pick08","Pick08",,"$0","$0"
"Cole Kmet","CHI","TE","27.4","Veteran","294","303","TE55","TE55",,"$0","$0"
"Seydou Traore","MIA","TE","24.0","Rookie","295","305","TE56","TE56",,"$0","$0"
"Matthew Stafford","LAR","QB","38.5","Veteran","296","104","QB25","QB25","Could the extension keep him playing through 2027 or longer?","$0","$7"
"Davis Allen","LAR","TE","26.5","Veteran","297","308","TE57","TE57",,"$0","$0"
"Nate Boerkircher","JAC","TE","24.9","Rookie","298","311","TE58","TE58",,"$0","$0"
"Daniel Jones","IND","QB","29.2","Veteran","299","106","QB26","QB26","Short-term committment and coming off of a major injury.","$0","$7"
"Kendre Miller","NO","RB","24.2","Veteran","300","329","RB85","RB85",,"$0","$0"
"Barion Brown","NO","WR","22.7","Rookie","301","332","WR124","WR124",,"$0","$0"
"Bryce Young","CAR","QB","25.0","Veteran","302","111","QB27","QB27","5th-Year option pickup gives him a little more life.","$0","$6"
"Ty Simpson","LAR","QB","23.6","Rookie","303","112","QB28","QB28","Blocked for the forseeable future, but the potential future QB for Sean McVay is intriguing.","$0","$6"
"Cade Stover","HOU","TE","26.2","Veteran","304","323","TE59","TE59",,"$0","$0"
"Michael Mayer","LV","TE","25.1","Veteran","305","326","TE60","TE60",,"$0","$0"
"Tua Tagovailoa","ATL","QB","28.4","Veteran","306","118","QB29","QB29","Expecting him to start majority of games.","$0","$5"
"Michael Penix Jr.","ATL","QB","26.3","Veteran","307","155","QB30","QB30","Will he be ready for the start of the season? Tua may have the job from the jump.","$0","$3"
"Geno Smith","NYJ","QB","35.8","Veteran","307","175","QB30","QB31","Should start and have a chance to close the loop on his initial Jets tenure.","$0","$2"
"Deshaun Watson","CLE","QB","30.9","Veteran","307","178","QB30","QB32","Seems to be in the 2026 starter mix more than previously thought.","$0","$2"
"Jacoby Brissett","ARI","QB","33.7","Veteran","307","179","QB30","QB33","Now that the contract is resolved, Brissett should get first crack to ball out.","$0","$2"
"Aaron Rodgers","PIT","QB","42.7","Veteran","307","197","QB30","QB34","Returning for one final season","$0","$2"
"Kirk Cousins","LV","QB","38.0","Veteran","307","211","QB30","QB35","Brady has publically advocated for rookie QBs to sit. Could he redshirt Mendoza in favor of Cousins?","$0","$1"
"Carson Beck","ARI","QB","23.7","Rookie","307","217","QB30","QB36","Should get some starts as a rookie, but seems unlikely to be a long-term option.","$0","$1"
"J.J. McCarthy","MIN","QB","23.6","Veteran","307","219","QB30","QB37","Probably cooked with Kyler in the building.","$0","$1"
"Taylen Green","CLE","QB","23.8","Rookie","307","226","QB30","QB38","Impressive athlete with solid peripheral numbers despite no real weapons.","$0","$1"
"Cole Payton","PHI","QB","23.8","Rookie","307","228","QB30","QB39","Great athlete -- some potential Hurts displacement?","$0","$1"
"Drew Allar","PIT","QB","22.4","Rookie","307","235","QB30","QB40","Still fairly young despite 3+ years of starter experience. Maybe regains some mojo with Pittsburgh.","$0","$1"
"Cade Klubnik","NYJ","QB","22.8","Rookie","307","236","QB30","QB41","Toolsy, may see some play time while the Jets figure out their path.","$0","$1"
"Mac Jones","SF","QB","27.9","Veteran","307","243","QB30","QB42",,"$0","$1"
"Shedeur Sanders","CLE","QB","24.5","Veteran","307","253","QB30","QB43",,"$0","$1"
"Jalen Milroe","SEA","QB","23.7","Veteran","307","279","QB30","QB44",,"$0","$0"
"Riley Leonard","IND","QB","23.9","Veteran","307","305","QB30","QB45","Should open the season as Jones' backup.","$0","$0"
"Garrett Nussmeier","KC","QB","24.5","Rookie","307","314","QB30","QB46","Once thought of as a possible first overall pick, then had a disaster 25 season. Injury related?","$0","$0"
"Marcus Mariota","WFT","QB","32.8","Veteran","307","320","QB30","QB47",,"$0","$0"
"Trey Lance","LAC","QB","26.3","Veteran","307","321","QB30","QB48",,"$0","$0"
"Joe Flacco","CIN","QB","41.6","Veteran","307","322","QB30","QB49",,"$0","$0"
"Spencer Rattler","NO","QB","25.9","Veteran","307","324","QB30","QB50",,"$0","$0"
"Davis Mills","HOU","QB","27.8","Veteran","307","325","QB30","QB51",,"$0","$0"
"Jameis Winston","NYG","QB","32.6","Veteran","307","327","QB30","QB52",,"$0","$0"
"Tyson Bagent","CHI","QB","26.2","Veteran","307","328","QB30","QB53",,"$0","$0"
"Ben Sinnott","WFT","TE","24.2","Veteran","307","330","TE61","TE61",,"$0","$0"
"Tyler Huntley","BAL","QB","28.5","Veteran","307","330","QB30","QB54",,"$0","$0"
"Tyrod Taylor","GB","QB","37.0","Veteran","307","333","QB30","QB55",,"$0","$0"
"Kenny Pickett","CAR","QB","28.2","Veteran","307","334","QB30","QB56",,"$0","$0"
